"iati-identifier","title","reporting-org","total-commitment","total-spend","currency","link","activity-status"
"XM-DAC-46008-cfa010180","Belgrano Sur I","CAF Banco de Desarrollo de América Latina y el Caribe","55,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010180",2
"XM-DAC-46008-cfa010199","Habilitación de la Red Vial Pavimentada, Departamentos de Cordillera, Paraguarí, Caaguazú, Guairá y Caazapá. VIAL 2","CAF Banco de Desarrollo de América Latina y el Caribe","100,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010199",2
"XM-DAC-46008-cfa010209","Proyecto Construcción de Planta Potabilizadora en los Partidos de La Plata, Berisso y Ensenada","CAF Banco de Desarrollo de América Latina y el Caribe","119,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010209",2
"XM-DAC-46008-cfa010298","Terminal Portuario Paracas","CAF Banco de Desarrollo de América Latina y el Caribe","50,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010298",2
"XM-DAC-46008-cfa010352","FOR - Programa Aldeia da Praia - Ciudad de Fortaleza con Futuro","CAF Banco de Desarrollo de América Latina y el Caribe","83,250,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010352",4
"XM-DAC-46008-cfa010362","Parque Eólicos Villalonga y Chubut Norte","CAF Banco de Desarrollo de América Latina y el Caribe","7,931,550",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010362",2
"XM-DAC-46008-cfa010449","Programa de Gestión de Aguas Residuales de Burunga y Arraiján Cabecera - Proyecto 1","CAF Banco de Desarrollo de América Latina y el Caribe","75,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010449",2
"XM-DAC-46008-cfa010454","Programa de Gestión de Aguas Residuales de los Distritos de Arraiján y La Chorrera - Proyecto 2","CAF Banco de Desarrollo de América Latina y el Caribe","50,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010454",2
"XM-DAC-46008-cfa010491","TER- Programa de Desarrolo Urbano Integrado Teresina","CAF Banco de Desarrollo de América Latina y el Caribe","45,982,660",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010491",2
"XM-DAC-46008-cfa010505","Programa Ambiental y de Optimización Vial","CAF Banco de Desarrollo de América Latina y el Caribe","70,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010505",2
"XM-DAC-46008-cfa010521","Programa de Infraestructura Integrada","CAF Banco de Desarrollo de América Latina y el Caribe","80,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010521",2
"XM-DAC-46008-cfa010524","Parque Eólicos Villalonga y Chubut Norte","CAF Banco de Desarrollo de América Latina y el Caribe","19,650,858",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010524",2
"XM-DAC-46008-cfa010613","Proyecto de Mejoramiento del Sistema de Transmisión y de Distribución de Electricidad del Sistema Metropolitano de Paraguay (Fase II)","CAF Banco de Desarrollo de América Latina y el Caribe","150,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010613",4
"XM-DAC-46008-cfa010628","Programa de Rehabilitación y Mantenimiento de Rutas Pavimentadas - VIAL 3","CAF Banco de Desarrollo de América Latina y el Caribe","100,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010628",2
"XM-DAC-46008-cfa010634","Programa de Revitalización Urbana en Barrios de Maceió","CAF Banco de Desarrollo de América Latina y el Caribe","70,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010634",4
"XM-DAC-46008-cfa010639","Programa de Recalificación Urbanística de Salvador","CAF Banco de Desarrollo de América Latina y el Caribe","60,700,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010639",2
"XM-DAC-46008-cfa010641","Programa de Recalificación Urbana de Palmas","CAF Banco de Desarrollo de América Latina y el Caribe","60,870,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010641",2
"XM-DAC-46008-cfa010675","Programa Nacional de Inversiones para la Infraestructura de la Red Vial","CAF Banco de Desarrollo de América Latina y el Caribe","75,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010675",2
"XM-DAC-46008-cfa010689","Programa Municipios Sostenibles","CAF Banco de Desarrollo de América Latina y el Caribe","50,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010689",2
"XM-DAC-46008-cfa010703","Programa de Desarrollo Vial Regional IV","CAF Banco de Desarrollo de América Latina y el Caribe","70,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010703",2
"XM-DAC-46008-cfa010713","Programa Panamá Bilingüe","CAF Banco de Desarrollo de América Latina y el Caribe","55,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010713",2
"XM-DAC-46008-cfa010726","Autopista al Mar 1","CAF Banco de Desarrollo de América Latina y el Caribe","43,269,184",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010726",2
"XM-DAC-46008-cfa010730","Programa de Mantenimiento y Conservación Vial por Resultados","CAF Banco de Desarrollo de América Latina y el Caribe","192,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010730",2
"XM-DAC-46008-cfa010751","Internet Para Todos, S.A.C.","CAF Banco de Desarrollo de América Latina y el Caribe","18,125,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010751",2
"XM-DAC-46008-cfa010784","Programa de Renovación de la Facultad de Ciencias Naturales, Exactas y Tecnología de la Universidad de Panamá","CAF Banco de Desarrollo de América Latina y el Caribe","27,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010784",2
"XM-DAC-46008-cfa010801","Programa de Saneamiento Ambiental para el Desarrollo Comunitario - PROMADEC IV","CAF Banco de Desarrollo de América Latina y el Caribe","100,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010801",2
"XM-DAC-46008-cfa010823","PPP Circuito Vial 3","CAF Banco de Desarrollo de América Latina y el Caribe","11,612,377",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010823",2
"XM-DAC-46008-cfa010824","Programa de Integración y Desarrollo Urbano, Social y Ambiental del Municipio de Camaçari","CAF Banco de Desarrollo de América Latina y el Caribe","80,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010824",2
"XM-DAC-46008-cfa010852","Programa de Fortalecimiento de Transmisión del SIN y de Distribución Eléctrica Rural","CAF Banco de Desarrollo de América Latina y el Caribe","170,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa010852",2
